original_sin_tilde,corregido_con_tilde
formacaodocente,Formação Docente
pedagogiaterapeutica,Pedagogia Terapêutica
escolasparque,Escolas-Parque
competencias,Competencias
teoriaeducacional,Teoria Educacional
arteeducacao,Arte-Educacao
educacaoearte,Educação e Arte
reformaseducacionais,Reformas educacionais
educacaoprofissional,Educação Profissional
ensino,Ensino
formacaodeprofessores,Formação de Professores
avaliacao,avaliação
curriculo,currículo
culturaafricana,Cultura Africana
culturaafrobrasileira,Cultura Afrobrasileira
reformas,Reformas
formacaoinicial,Formação Inicial
tecnologias,Tecnologias
genero,Gênero
discursos,Discursos
praticapedagogica,Prática Pedagógica
culturaescolar,Cultura Escolar
politicaeducacional,Política Educacional
dimensaotemporal,Dimensão Temporal
gestao,Gestão
